feature,num,sosinavn
kvalitet.Posisjonskvalitet.målemetode,10,terrengmåltUspesifisertMåleinstrument
kvalitet.Posisjonskvalitet.målemetode,11,terrengmåltTotalstasjon
kvalitet.Posisjonskvalitet.målemetode,12,terrengmåltTeodolittOgElAvstandsmåler
kvalitet.Posisjonskvalitet.målemetode,13,terrengmåltTeodolittOgMålebånd
kvalitet.Posisjonskvalitet.målemetode,14,terrengmåltOrtogonalmetoden
kvalitet.Posisjonskvalitet.målemetode,15,utmål
kvalitet.Posisjonskvalitet.målemetode,18,tattFraPlan
kvalitet.Posisjonskvalitet.målemetode,20,stereoinstrument
kvalitet.Posisjonskvalitet.målemetode,21,aerotriangulert
kvalitet.Posisjonskvalitet.målemetode,22,stereoinstrumentAnalytiskPlotter
kvalitet.Posisjonskvalitet.målemetode,23,stereoinstrumentAutograf
kvalitet.Posisjonskvalitet.målemetode,24,stereoinstrumentDigitalt
kvalitet.Posisjonskvalitet.målemetode,30,scannetFraKart
kvalitet.Posisjonskvalitet.målemetode,31,skannetFraKartBlyantoriginal
kvalitet.Posisjonskvalitet.målemetode,32,skannetFraKartRissefolie
kvalitet.Posisjonskvalitet.målemetode,33,skannetFraKartTransparentFolieGodKvalitet
kvalitet.Posisjonskvalitet.målemetode,34,skannetFraKartTransparentFolieMindreGodKvalitet
kvalitet.Posisjonskvalitet.målemetode,35,skannetFraKartPapirkopi
kvalitet.Posisjonskvalitet.målemetode,36,flybårenLaserscanner
kvalitet.Posisjonskvalitet.målemetode,37,bilbårenLaser
kvalitet.Posisjonskvalitet.målemetode,38,lineærReferanse
kvalitet.Posisjonskvalitet.målemetode,40,digitaliseringbordOrtofotoEllerFlybilde
kvalitet.Posisjonskvalitet.målemetode,41,digitaliseringbordOrtofotoFilm
kvalitet.Posisjonskvalitet.målemetode,42,digitaliseringbordOrtofotoFotokopi
kvalitet.Posisjonskvalitet.målemetode,43,digitaliseringbordFlybildeFilm
kvalitet.Posisjonskvalitet.målemetode,44,digitaliseringbordFlybildeFotokopi
kvalitet.Posisjonskvalitet.målemetode,45,digitalisertPåSkjermFraOrtofoto
kvalitet.Posisjonskvalitet.målemetode,46,digitalisertPåSkjermFraSatellittbilde
kvalitet.Posisjonskvalitet.målemetode,47,digitalisertPåSkjermFraAndreDigitaleRasterdata
kvalitet.Posisjonskvalitet.målemetode,48,digitalisertPåSkjermFraTolkningAvSeismikk
kvalitet.Posisjonskvalitet.målemetode,49,vektoriseringAvLaserdata
kvalitet.Posisjonskvalitet.målemetode,50,digitaliseringsbordKart
kvalitet.Posisjonskvalitet.målemetode,51,digitaliseringsbordKartBlyantoriginal
kvalitet.Posisjonskvalitet.målemetode,52,digitaliseringsbordKartRissefoile
kvalitet.Posisjonskvalitet.målemetode,53,digitaliseringsbordKartTransparentFoileGodKvalitet
kvalitet.Posisjonskvalitet.målemetode,54,digitaliseringsbordKartTransparentFoileMindreGodKvalitet
kvalitet.Posisjonskvalitet.målemetode,55,digitaliseringsbordKartPapirkopi
kvalitet.Posisjonskvalitet.målemetode,56,digitalisertPåSkjermFraSkannetKart
kvalitet.Posisjonskvalitet.målemetode,60,genererteDataInterpolasjon
kvalitet.Posisjonskvalitet.målemetode,61,genererteDataInterpolasjonTerrengmodell
kvalitet.Posisjonskvalitet.målemetode,62,genererteDataInterpolasjonVektetMiddel
kvalitet.Posisjonskvalitet.målemetode,63,genererteDataFraAnnenGeometri
kvalitet.Posisjonskvalitet.målemetode,64,genererteDataGeneralisering
kvalitet.Posisjonskvalitet.målemetode,65,genererteDataSentralpunkt
kvalitet.Posisjonskvalitet.målemetode,66,genererteDataSammenknytningspunktRandpunkt
kvalitet.Posisjonskvalitet.målemetode,67,koordinaterHentetFraGAB
kvalitet.Posisjonskvalitet.målemetode,68,koordinaterHentetFraJREG
kvalitet.Posisjonskvalitet.målemetode,69,beregnet
kvalitet.Posisjonskvalitet.målemetode,70,spesielleMetoder
kvalitet.Posisjonskvalitet.målemetode,71,spesielleMetoderMåltMedStikkstang
kvalitet.Posisjonskvalitet.målemetode,72,spesielleMetoderMåltMedWaterstang
kvalitet.Posisjonskvalitet.målemetode,73,spesielleMetoderMåltMedMålehjul
kvalitet.Posisjonskvalitet.målemetode,74,spesielleMetoderMåltMedStigningsmåler
kvalitet.Posisjonskvalitet.målemetode,77,fastsattPunkt
kvalitet.Posisjonskvalitet.målemetode,78,fastsattVedDomEllerKongeligResolusjon
kvalitet.Posisjonskvalitet.målemetode,80,frihåndstegning
kvalitet.Posisjonskvalitet.målemetode,81,frihåndstegningPåKart
kvalitet.Posisjonskvalitet.målemetode,82,frihåndstegningPåSkjerm
kvalitet.Posisjonskvalitet.målemetode,90,treghetsstedfesting
kvalitet.Posisjonskvalitet.målemetode,91,GNSSKodemålingRelativeMålinger
kvalitet.Posisjonskvalitet.målemetode,92,GNSSKodemålingEnkleMålinger
kvalitet.Posisjonskvalitet.målemetode,93,GNSSFasemålingStatiskMåling
kvalitet.Posisjonskvalitet.målemetode,94,GNSSFasemålingAndreMetoder
kvalitet.Posisjonskvalitet.målemetode,95,kombinasjonAvGNSSTreghet
kvalitet.Posisjonskvalitet.målemetode,96,GNSSFasemålingRTK
kvalitet.Posisjonskvalitet.målemetode,97,GNSSFasemålingFloat-løsning
kvalitet.Posisjonskvalitet.målemetode,99,ukjentMålemetode
